Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     12.67     0.00       43     0.00     0.00  luaH_newkey
  0.00     12.67     0.00       42     0.00     0.00  k2proto
  0.00     12.67     0.00       42     0.00     0.00  luaM_shrinkvector_
  0.00     12.67     0.00       41     0.00     0.00  luaH_finishset
  0.00     12.67     0.00       41     0.00     0.00  luaK_exp2anyreg
  0.00     12.67     0.00       41     0.00     0.00  retpsetcode
  0.00     12.67     0.00       40     0.00     0.00  check_next2
  0.00     12.67     0.00       40     0.00     0.00  codestring
  0.00     12.67     0.00       40     0.00     0.00  lua_pushvalue
  0.00     12.67     0.00       40     0.00     0.00  str2K
  0.00     12.67     0.00       40     0.00     0.00  stringK
  0.00     12.67     0.00       38     0.00     0.00  auxgetstr
  0.00     12.67     0.00       37     0.00     0.00  fillidxk
  0.00     12.67     0.00       37     0.00     0.00  isKstr
  0.00     12.67     0.00       37     0.00     0.00  luaK_exp2anyregup
  0.00     12.67     0.00       37     0.00     0.00  luaK_indexed
  0.00     12.67     0.00       37     0.00     0.00  lua_getfield
  0.00     12.67     0.00       36     0.00     0.00  luaK_fixline
  0.00     12.67     0.00       36     0.00     0.00  removelastlineinfo
  0.00     12.67     0.00       33     0.00     0.00  luaE_extendCI
  0.00     12.67     0.00       32     0.00     0.00  buildglobal
  0.00     12.67     0.00       32     0.00     0.00  numusehash
  0.00     12.67     0.00       32     0.00     0.00  rehash
  0.00     12.67     0.00       32     0.00     0.00  rotl
  0.00     12.67     0.00       30     0.00     0.00  luaD_poscall
  0.00     12.67     0.00       30     0.00     0.00  luaS_sizelngstr
  0.00     12.67     0.00       30     0.00     0.00  moveresults
  0.00     12.67     0.00       29     0.00     0.00  explist
  0.00     12.67     0.00       28     0.00     0.00  dothecall
  0.00     12.67     0.00       28     0.00     0.00  leaveblock
  0.00     12.67     0.00       28     0.00     0.00  statement
  0.00     12.67     0.00       26     0.00     0.00  check_match
  0.00     12.67     0.00       26     0.00     0.00  concretesize
  0.00     12.67     0.00       26     0.00     0.00  init_var
  0.00     12.67     0.00       26     0.00     0.00  luaH_free
  0.00     12.67     0.00       26     0.00     0.00  luaH_new
  0.00     12.67     0.00       26     0.00     0.00  precallC
  0.00     12.67     0.00       25     0.00     0.00  lua_pushstring
  0.00     12.67     0.00       24     0.00     0.00  checkrange
